Language,Repos on GitHub (K),Learning Difficulty (1-5),Average Salary ($K/year)
Python,4500,2,110
JavaScript,8500,3,100
Java,3100,4,115
C++,2100,5,120
Swift,900,4,115
Go,600,3,130
Ruby,1500,3,95
PHP,2500,3,85
Kotlin,800,4,120
TypeScript,4000,3,105
C#,2300,4,110
Rust,500,4,125
Perl,300,5,90
R,1000,4,95
Scala,450,4,110
Objective-C,200,4,100
Dart,250,3,95
Haskell,150,5,105
Lua,100,3,90
MATLAB,300,4,85
VBA,200,3,80
Shell,100,5,70
Assembly,50,5,110
Elixir,80,4,130
F#,30,4,110
Fortran,60,5,115
Julia,120,4,115
Crystal,40,3,105
Clojure,160,4,125
COBOL,30,4,95
D,70,4,100
Erlang,90,4,120
Groovy,180,3,100
OCaml,85,4,115
Pascal,45,3,75
Prolog,40,5,95
Racket,35,4,90
Scheme,50,4,85
Smalltalk,20,4,80
TCL,25,3,85
Verilog,110,4,120
VHDL,95,4,115
Ada,30,5,105
Apex,150,3,115
ABAP,40,3,95
ActionScript,70,3,75
AutoHotkey,85,2,65
Ballerina,30,3,95
Ceylon,25,4,90
CoffeeScript,200,3,85
Common Lisp,45,4,100
Curry,15,5,95
Delphi,120,3,90
Eiffel,20,4,85
Elm,60,3,100
Factor,10,4,90
Forth,25,4,85
Hack,150,3,110
Idris,15,5,100
Io,10,3,80
J,20,5,95
LiveScript,30,3,85
Mercury,10,5,95
Nim,45,3,95
Nix,35,3,90
Oberon,15,4,85
PureScript,25,4,105
Q,30,4,120
Red,20,3,85
Ring,15,3,75
SAS,150,3,95
Scratch,300,1,60
Solidity,180,4,140
Stata,80,3,90
SQL,2000,2,100
PL/SQL,250,3,105
T-SQL,200,3,100
Visual Basic,300,2,75
XSLT,60,3,85
Zig,40,4,110
APL,25,5,100
ASP.NET,400,3,95
Bash,800,3,95
C,1500,4,110
CFML,30,3,85
ChucK,10,3,80
Clean,15,4,90
Dylan,20,4,85
E,10,4,90
F*,15,5,115
Gherkin,45,2,85
HCL,120,2,100
Icon,15,3,80
Ioke,10,4,85
jq,40,3,90
KRL,20,3,85
LabVIEW,70,3,95
Logo,25,2,70
M4,15,4,85
NASL,20,3,80
Oz,15,4,90
Pike,10,4,85
PostScript,30,4,90
PowerShell,350,3,95
Processing,150,2,80
QML,60,3,95
Raku,30,4,90
Rebol,15,3,80
Shen,10,5,95
SPARK,25,4,110
Standard ML,20,4,95
Tcl,40,3,85
Unison,15,4,100
V,30,3,90
WebAssembly,150,4,120
X10,15,4,100
XQuery,40,3,90
Yasm,20,4,95
ZIL,10,4,85
